Cluster number,Household number,Line number,Cluster number,Household number,Man's line number,Interviewer number,Supervisor number,Interviewer number,Day of interview
19.0,20.0,1.0,19.0,20.0,1.0,12.0,10.0,12.0,21.0
19.0,22.0,5.0,19.0,22.0,5.0,12.0,10.0,12.0,19.0
19.0,26.0,3.0,19.0,26.0,3.0,12.0,10.0,12.0,23.0
20.0,2.0,1.0,20.0,2.0,1.0,13.0,10.0,13.0,16.0
20.0,4.0,1.0,20.0,4.0,1.0,13.0,10.0,13.0,4.0
20.0,12.0,1.0,20.0,12.0,1.0,13.0,10.0,13.0,6.0
20.0,16.0,2.0,20.0,16.0,2.0,12.0,10.0,12.0,13.0
20.0,16.0,8.0,20.0,16.0,8.0,12.0,10.0,12.0,16.0
20.0,18.0,1.0,20.0,18.0,1.0,12.0,10.0,12.0,13.0
20.0,18.0,3.0,20.0,18.0,3.0,12.0,10.0,12.0,13.0
20.0,20.0,4.0,20.0,20.0,4.0,12.0,10.0,12.0,15.0
20.0,20.0,5.0,20.0,20.0,5.0,12.0,10.0,12.0,13.0
20.0,22.0,1.0,20.0,22.0,1.0,12.0,10.0,12.0,13.0
20.0,24.0,1.0,20.0,24.0,1.0,12.0,10.0,12.0,5.0
21.0,5.0,3.0,21.0,5.0,3.0,13.0,10.0,13.0,30.0
21.0,5.0,5.0,21.0,5.0,5.0,13.0,10.0,13.0,11.0
21.0,11.0,4.0,21.0,11.0,4.0,13.0,10.0,13.0,10.0
21.0,13.0,1.0,21.0,13.0,1.0,13.0,10.0,13.0,23.0
21.0,17.0,1.0,21.0,17.0,1.0,12.0,10.0,12.0,5.0
21.0,21.0,1.0,21.0,21.0,1.0,12.0,10.0,12.0,13.0
21.0,23.0,1.0,21.0,23.0,1.0,12.0,10.0,12.0,3.0
21.0,25.0,1.0,21.0,25.0,1.0,12.0,10.0,12.0,25.0
21.0,25.0,2.0,21.0,25.0,2.0,12.0,10.0,12.0,25.0
22.0,6.0,3.0,22.0,6.0,3.0,12.0,10.0,12.0,16.0
22.0,8.0,2.0,22.0,8.0,2.0,12.0,10.0,12.0,1.0
22.0,16.0,1.0,22.0,16.0,1.0,13.0,10.0,13.0,16.0
22.0,16.0,4.0,22.0,16.0,4.0,13.0,10.0,13.0,11.0
22.0,20.0,1.0,22.0,20.0,1.0,13.0,10.0,13.0,30.0
22.0,22.0,1.0,22.0,22.0,1.0,12.0,10.0,12.0,31.0
22.0,24.0,1.0,22.0,24.0,1.0,13.0,10.0,13.0,12.0
22.0,26.0,1.0,22.0,26.0,1.0,13.0,10.0,13.0,16.0
23.0,2.0,1.0,23.0,2.0,1.0,22.0,20.0,22.0,14.0
23.0,2.0,3.0,23.0,2.0,3.0,22.0,20.0,22.0,16.0
23.0,4.0,2.0,23.0,4.0,2.0,22.0,20.0,22.0,14.0
23.0,4.0,3.0,23.0,4.0,3.0,22.0,20.0,22.0,17.0
